,City,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
0,Chui,58.53,73,69,15.46,-33.7,-53.46
1,Puerto Ayora,71.91,69,20,13.87,-0.74,-90.35
2,Albany,67.21,82,22,5.01,42.6,-73.97
3,Suntar,13.84,96,56,3.76,62.14,117.63
4,Lebu,50.05,77,0,15.73,-37.62,-73.65
5,Port Alfred,63.54,85,0,12.35,-33.59,26.89
6,Hobart,54.39,81,75,4.7,-42.88,147.33
7,Mnogovershinnyy,37.74,88,100,3.91,53.94,139.92
8,Sujiatun,26.6,92,0,2.24,41.66,123.34
9,Lakes Entrance,58.01,85,66,0.94,-37.88,147.98
10,Portland,57.2,44,20,13.87,45.52,-122.68
11,Barrow,33.8,96,90,16.11,71.29,-156.79
12,Vaini,75.2,73,90,10.29,-21.2,-175.2
13,Nikolskoye,36.77,93,90,6.71,59.7,30.79
14,Kruisfontein,55.13,79,0,5.19,-34.0,24.73
15,Dicabisagan,79.65,82,100,11.27,17.08,122.42
16,George Town,78.4,88,20,4.7,5.41,100.34
17,Rikitea,74.1,70,62,7.63,-23.12,-134.97
18,Hobart,54.39,81,75,4.7,-42.88,147.33
19,Kalga,21.02,84,0,4.05,50.93,118.9
20,Neyshabur,50.05,49,0,2.53,36.21,58.8
21,Murwillumbah,69.69,77,90,2.04,-28.32,153.4
22,Cockburn Town,80.6,78,40,9.17,21.46,-71.14
23,Garoua Boulaï,65.55,92,94,2.62,5.88,14.55
24,Swindon,53.71,87,90,17.22,51.56,-1.78
25,Nsanje,73.81,81,6,4.76,-16.92,35.26
26,Pak Phanang,79.59,81,100,4.85,8.35,100.2
27,Rikitea,74.1,70,62,7.63,-23.12,-134.97
28,Port Lincoln,58.44,81,92,22.44,-34.73,135.87
29,Port Alfred,63.54,85,0,12.35,-33.59,26.89
30,Busselton,48.45,72,1,10.56,-33.65,115.33
31,Kirakira,84.11,69,18,7.38,-10.45,161.92
32,Chui,58.53,73,69,15.46,-33.7,-53.46
33,Jizan,84.2,74,0,3.13,17.33,42.67
34,Saskylakh,8.8,94,91,5.82,71.92,114.08
35,Vaini,75.2,73,90,10.29,-21.2,-175.2
36,Jamestown,56.86,93,90,4.7,42.1,-79.24
37,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
38,Butaritari,82.06,73,9,10.36,3.07,172.79
39,Broken Hill,66.2,32,39,5.82,-31.95,141.43
40,Busselton,48.45,72,1,10.56,-33.65,115.33
41,Busselton,48.45,72,1,10.56,-33.65,115.33
42,Plettenberg Bay,60.46,73,0,3.38,-34.05,23.37
43,Dawlatabad,49.28,47,0,2.71,36.41,64.91
44,Ponta do Sol,60.03,63,20,5.82,32.67,-17.1
45,Coyhaique,60.8,31,0,10.29,-45.58,-72.07
46,Souillac,75.2,73,40,11.41,-20.52,57.52
47,Copiapó,60.8,67,0,14.99,-27.37,-70.33
48,Kortkeros,28.4,79,75,6.71,61.81,51.58
49,Evanton,49.68,93,100,17.22,57.66,-4.34
50,Dudinka,12.2,85,40,15.66,69.41,86.18
51,Ponta do Sol,60.03,63,20,5.82,32.67,-17.1
52,Rikitea,74.1,70,62,7.63,-23.12,-134.97
53,Qaanaaq,19.24,81,100,6.33,77.48,-69.36
54,Padang,75.33,87,100,5.57,-0.95,100.35
55,São João da Barra,77.0,78,40,12.75,-21.64,-41.05
56,Leh,35.26,60,5,3.6,34.17,77.58
57,Bredasdorp,55.4,87,0,2.24,-34.53,20.04
58,Ribeira Grande,63.7,68,46,18.16,38.52,-28.7
59,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
60,Minna,77.23,64,0,1.9,9.61,6.56
61,Iqaluit,32.0,94,75,4.7,63.75,-68.51
62,Kapaa,83.16,74,90,4.7,22.08,-159.32
63,Churapcha,10.96,96,83,2.91,62.0,132.43
64,Letka,29.8,97,98,9.69,59.6,49.42
65,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
66,Bengkulu,77.11,84,100,2.51,-3.8,102.27
67,Ugoofaaru,81.45,79,68,12.46,5.67,73.0
68,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
69,Hobart,54.39,81,75,4.7,-42.88,147.33
70,Dikson,23.23,95,94,10.94,73.51,80.55
71,Saldanha,51.8,81,0,3.36,-33.01,17.94
72,Albany,67.21,82,22,5.01,42.6,-73.97
73,Bongandanga,70.57,97,100,1.83,1.5,21.05
74,Albany,67.21,82,22,5.01,42.6,-73.97
75,Puerto Ayora,71.91,69,20,13.87,-0.74,-90.35
76,Coyhaique,60.8,31,0,10.29,-45.58,-72.07
77,Khorixas,55.98,67,50,3.02,-20.37,14.97
78,Half Moon Bay,70.66,72,1,10.29,37.46,-122.43
79,Mataura,57.2,47,97,2.93,-46.19,168.86
80,Plymouth,65.12,93,90,9.17,41.83,-70.83
81,Slavyanka,51.76,73,80,5.37,42.86,131.38
82,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
83,Port Blair,80.76,83,73,10.63,11.67,92.75
84,Albany,67.21,82,22,5.01,42.6,-73.97
85,Ribeira Grande,63.7,68,46,18.16,38.52,-28.7
86,Bengkulu,77.11,84,100,2.51,-3.8,102.27
87,Rikitea,74.1,70,62,7.63,-23.12,-134.97
88,Bredasdorp,55.4,87,0,2.24,-34.53,20.04
89,São Filipe,82.18,67,69,7.65,14.9,-24.5
90,Chabahar,75.63,44,0,3.42,25.29,60.64
91,Mwandiga,71.6,94,40,3.71,-4.83,29.66
92,George Town,78.4,88,20,4.7,5.41,100.34
93,Itarema,79.77,80,61,15.73,-2.92,-39.92
94,Busselton,48.45,72,1,10.56,-33.65,115.33
95,Barrow,33.8,96,90,16.11,71.29,-156.79
96,Castro,66.42,80,10,9.44,-24.79,-50.01
97,Longyearbyen,17.6,78,20,5.82,78.22,15.64
98,Mossamedes,70.07,81,99,3.27,-15.2,12.15
99,Inhambane,73.51,83,52,10.27,-23.86,35.38
100,Port Macquarie,64.4,82,45,4.34,-31.43,152.92
101,Sur,74.16,62,96,6.73,22.57,59.53
102,Hastings,56.1,76,23,5.99,50.86,0.57
103,Kaitangata,57.85,52,95,1.32,-46.28,169.85
104,Wisconsin Rapids,38.32,64,1,4.7,44.38,-89.82
105,Thompson,30.2,54,90,6.93,55.74,-97.86
106,Hilo,79.14,51,75,8.39,19.73,-155.09
107,Katsuura,60.66,67,75,12.75,35.13,140.3
108,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
109,Bakersfield,87.49,25,1,10.29,35.37,-119.02
